"","CatSpeSpeciesRef","BandNumber","Date","Sex","Age","CatSampleID","LocRegionRef","LocLon","LocLat","AIV","AIVAb","CatAgeAgeRef","SpeOrder","lat","lon","Year","Month","Year2","Season","Ecotype","group","Species","Order"
"101","Australian shelduck",NA,2017-06-02,"F",NA,"10617","Carlisle river",143.421944,-38.610556,0,NA,"U","Anseriformes",-38.61,143.42,2017,6,"2016","W","Temp","Duck","Australian shelduck","Anseriformes"
"102","Australian shelduck",NA,2017-04-30,"F",NA,"10584","Apsley",141.386109,-36.94001,0,NA,"U","Anseriformes",-36.94,141.39,2017,4,"2016","W","Temp","Duck","Australian shelduck","Anseriformes"
"103","Australian shelduck","12157265",2012-12-10,"F","A","3796","Melbourne Western Treatment Plant",144.65,-37.99,0,1,"1+","Anseriformes",-37.99,144.65,2012,12,"2012","S","Temp","Duck","Australian shelduck","Anseriformes"
"104","Australian shelduck","12153243",2012-04-16,"M","A","3207","Melbourne Western Treatment Plant",144.65,-37.99,NA,0,"1+","Anseriformes",-37.99,144.65,2012,4,"2011","W","Temp","Duck","Australian shelduck","Anseriformes"
"105","Australian shelduck","12153244",2012-04-16,"F","A","3208","Melbourne Western Treatment Plant",144.65,-37.99,NA,1,"1+","Anseriformes",-37.99,144.65,2012,4,"2011","W","Temp","Duck","Australian shelduck","Anseriformes"
"106","Australian shelduck","12157280",2013-02-04,"F","A","3992","Melbourne Western Treatment Plant",144.65,-37.99,0,0,"1+","Anseriformes",-37.99,144.65,2013,2,"2012","S","Temp","Duck","Australian shelduck","Anseriformes"
"107","Australian shelduck","12157283",2013-02-04,"F","A","4003","Melbourne Western Treatment Plant",144.65,-37.99,0,1,"1+","Anseriformes",-37.99,144.65,2013,2,"2012","S","Temp","Duck","Australian shelduck","Anseriformes"
"108","Australian shelduck","12153247",2012-04-16,"M","A","3213","Melbourne Western Treatment Plant",144.65,-37.99,NA,0,"1+","Anseriformes",-37.99,144.65,2012,4,"2011","W","Temp","Duck","Australian shelduck","Anseriformes"
"109","Australian shelduck",NA,2017-03-23,"F",NA,"10804","Cressy",143.5298,-38.0676,0,NA,"U","Anseriformes",-38.07,143.53,2017,3,"2016","W","Temp","Duck","Australian shelduck","Anseriformes"
"110","Australian shelduck",NA,2017-03-23,"F",NA,"10806","Cressy",143.5298,-38.0676,0,NA,"U","Anseriformes",-38.07,143.53,2017,3,"2016","W","Temp","Duck","Australian shelduck","Anseriformes"
"111","Australian shelduck",NA,2019-03-16,"F",NA,"11818","Coorong",139.029,-35.596,0,NA,"U","Anseriformes",-35.6,139.03,2019,3,"2018","W","Temp","Duck","Australian shelduck","Anseriformes"
"112","Australian shelduck","12153250",2012-04-16,"M","A","2250","Melbourne Western Treatment Plant",144.65,-37.99,0,0,"1+","Anseriformes",-37.99,144.65,2012,4,"2011","W","Temp","Duck","Australian shelduck","Anseriformes"
"113","Australian shelduck","12153208",2012-02-15,NA,"A","2005","Melbourne Western Treatment Plant",144.65,-37.99,0,0,"1+","Anseriformes",-37.99,144.65,2012,2,"2011","S","Temp","Duck","Australian shelduck","Anseriformes"
"114","Australian shelduck","12157253",2012-12-10,"F","A","3745","Melbourne Western Treatment Plant",144.65,-37.99,0,0,"1+","Anseriformes",-37.99,144.65,2012,12,"2012","S","Temp","Duck","Australian shelduck","Anseriformes"
"115","Australian shelduck",NA,2017-03-23,"F",NA,"10810","Cressy",143.5298,-38.0676,0,NA,"U","Anseriformes",-38.07,143.53,2017,3,"2016","W","Temp","Duck","Australian shelduck","Anseriformes"
"116","Australian shelduck","12157277",2013-02-04,"M","A","3986","Melbourne Western Treatment Plant",144.65,-37.99,1,1,"1+","Anseriformes",-37.99,144.65,2013,2,"2012","S","Temp","Duck","Australian shelduck","Anseriformes"
"117","Australian shelduck","12153212",2012-04-13,NA,"A","3241","Melbourne Western Treatment Plant",144.65,-37.99,NA,0,"1+","Anseriformes",-37.99,144.65,2012,4,"2011","W","Temp","Duck","Australian shelduck","Anseriformes"
"118","Australian shelduck","12157255",2012-12-10,"F","A","3766","Melbourne Western Treatment Plant",144.65,-37.99,0,1,"1+","Anseriformes",-37.99,144.65,2012,12,"2012","S","Temp","Duck","Australian shelduck","Anseriformes"
"119","Australian shelduck","12153218",2012-04-23,"F","A","2266","Melbourne Western Treatment Plant",144.65,-37.99,0,0,"1+","Anseriformes",-37.99,144.65,2012,4,"2011","W","Temp","Duck","Australian shelduck","Anseriformes"
"120","Australian shelduck","12157298",2013-02-07,"M","A","4084","Melbourne Western Treatment Plant",144.65,-37.99,0,1,"1+","Anseriformes",-37.99,144.65,2013,2,"2012","S","Temp","Duck","Australian shelduck","Anseriformes"
